Date,MBSPrefix,MapRef,Latitude,Longitude,Location,Country,Comments,Reason,Photo
15-Dec-43,,,40.7780118,14.0958376,Naples ,Italy,Ships land in Naples for a few days.,,
22-Dec-43,,,40.9767521,17.0458701,Bari,Italy,"Sail Around the Boot to Land in Bari, the main 8th Army Supply Port.",,
23-Dec-43,rp204323,204323,40.6639,16.6089900,Matera,Italy,"Maj-Gen Symonds inspected the Bde. The three armd regts paraded in MATERA Sports Field, the Westmr R (M) paraded with 3 Cdn Armd Recee Regt (GGHG) in a fd outside of town. Training with the Artillery regiments for a month awaiting new Sherman Tanks whick arrived in mid January",,
31-Jan-44,rh,8673,41.95575,15.0374500,Campomarino,Italy,"The Sqns did some driving training with the tanks on the open ground on the East side of the road. ""C"" Sqn did some firing on a rifle range and some firing was also done with TSMC's.",,
4-Feb-44,rh,5893,42.13825,14.70157,Vasto,Italy,All remaining tanks and wheeled vehicles plus the attached RCASC and Fd Amb moved to the conc area.,,
9-Feb-44,rc,338132,42.32143,14.40997,Lanciano,Italy," Due to the mud and rain there was considerable difficulty in getting some of the vehicles out onto the road. The route followed was - CASALBORDINO. TORINO, SANGRO, S. VITO and S. LENARDO. It rained and snowed all during the move.",,
13-Feb-44,rc,341118,42.30881,14.4135300,Villa San Leonardo,Italy,Shelling in the area. No casualties but better shelters were dug. Exercise conducted with infantry.,,
1-Mar-44,rc,31306,42.47872,14.0376900,Pescara,Italy,It is expected that the regt will receive orders to move up into the line in a few days. Lieut. Ewing's troops moved up today into the house chosen for RHQ. They are to make some repairs to it before the regiment arrives.,,
8-Apr-44,rh,987368,41.62836,15.1849000,San Serevo,Italy,"Combined Arms training with Artillery, Infantry and Armour  Water Landing Practiced. Series of Exercises conducted",,
22-Apr-44,rn,423842,41.15929,14.5043000,Dugenta,Italy,"Getting in place for 4th Battle of Cassino. Squadrons dispersed among vast olive groves, stringing camouflage nets in treetops to hide the vehicles from German reconnaissance aircraft.",,
2-May-44,rn,153879,41.19355,14.1825000,Pignataro,Italy,"Closer to the front, closer to but still well behind the front just off the ancient Highway 6 (Via Casalina) north of Capua. The closer the regiment got to the front, the more essential it was to conceal its presence.
",,
20-May-44,rg,792176,41.461,13.75092,Pontecorvo,Italy,"1st Canadian Div Attacking the Hitler Line. Progress slower than expected. 5th Armoured Division was ordered forward and told to make ready to take over the attack. That night, the 8th New Brunswick Hussars set off toward the cyclone. By dawn on May 19, they reached “Oxford Bridge,” south of the German strongpoint town of Sant’Angelo in Teodice. Daylight found them in the middle of a lunar landscape, under the eye of the dreaded ruins atop Monte Cassino.
",,
24-May-44,rg,714200,41.48239,13.6574000,Pontecorvo,Italy,"The 8th Hussars formed the third and largest task force, together with most of the Westminster Regiment, an engineer squadron, a field ambulance section, a battery of anti-tank guns, and two batteries of self-propelled “Priest” 105mm guns from the 8th Field Regiment. The mission of this all-arms force was to reinforce the Strathconas at the river and guarantee Canadian ownership of the Melfa crossing.

",,
