Latitude,Longitude,Location
49.8869906,2.5103586,Australian National Memorial
49.8534937,2.5208084,Crucifix Corner Cemetery
49.838558,2.4986796,Hangard Woods British Cemetery
49.8063004,2.5607588,Demuin
49.77575588,2.610171135,Le Quesnel Canadian Memorial
49.79268,2.65482,Manitoba Cemetery
49.77367,2.75475,Fouquescourt British Cemetery
49.74267377,2.747746757,Parvillers
49.79463517,2.78244037,Hailu
49.80329346,2.728904657,Meharicourt Communal Cemetery
49.79725489,2.698177271,Vrely
49.83830523,2.536226072,Toronto Cemetery
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
