Latitude,Longitude,Location
50.2341578,2.9946959,Canadian Monument Drury
50.1835042,3.0618205,Inchy-en-Artois
50.1824541,3.0697168,Ontario Cemetery
50.2037009,3.0928348,Quarry Cemetery
50.1734973,3.1166632,Canadian Memorial Bourlon Woods + Cemetery
50.1810844,3.1553024,Crest Cemetery
50.1870832,3.1979111,Drummond Cemetery
50.2213495,3.1814432,Sancourt Cemetery
50.2199269,3.17366,E-Valley Park WW2 Airbase
50.2043236,3.218867,Canada Cemetery
50.1756464,3.2325559,Grand Place Cambrai
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
