Latitude,Longitude,Location
50.2721555,2.8203883,Tilloy Cemetery
"50.26353004832279,",2.831717184,Tilloy Bunkers 1 km past cemetery
50.24290831,2.884351361,Wancourt Tower
50.2278118,2.9172091,Sun Quarry Cemetery
50.23490639,2.942118168,Past Upton Wood
50.2247388,2.9500669,Upton Wood Cemetery
50.217049,2.9731713,Dominion Cemetery
50.2502402,2.9838518,Dury Memorial
50.2446444,3.0028437,Dury Crucifix Cemetery
50.2443678,3.0139067,VC Hutcheson and Young
50.2025034,3.0310163,Buissy Switch
50.26769553,2.927337161,Fresnes-Rouvroy Line
50.2708382,2.8887018,NFLD Memorial Monchy-le-Preux
50.2866004,2.8571881,Orange Hill Cemetery
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
