Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:35,Old Admirals,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:37,Night Of The 4th Of May,Al Stewart,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:38,The Rock Of Cashel,Celtic Céilí & The Irish Show,Last Night's Fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:39,Last Days Of The Century/Constantinople/Last Days,Al Stewart,Uncorked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:40,Old Man,Neil Young,Harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:44,Jolene,Dolly Parton,Jolene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 16:46,Wanted Dead Or Alive,Bon Jovi,Slippery When Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 17:44,Again & Again (Flute Version),Speedometer,Again & Again - EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 18:25,La Ziguezon,La Bottine Souriante,Chic & Swell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 22:45,No Secrets (There For You),The Treble,Rivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 7:56,Alright,Darius Rucker,Learn To Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 8:04,Night Moves,Bob Seger & The Silver Bullet Band,Night Moves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 8:10,Against The Wind,Bob Seger & The Silver Bullet Band,Against the Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 8:15,Mainstreet,Bob Seger & The Silver Bullet Band,Night Moves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
