time,UTC,Timeva;,icao24,lat,lon,baroaltitude,velocity,heading,x_speed,y_speed
1647434517,2022-03-16T12:41:57Z,12:41:57,3c4591,50.644085,21.379395,26975,433,99,216.5,216.5
1647434520,2022-03-16T12:42:00Z,12:42:00,3c4591,50.643494,21.389803,26975,433,95,216.5,216.5
1647434523,2022-03-16T12:42:03Z,12:42:03,3c4591,50.643295,21.399288,27000,433,91,216.5,216.5
1647434526,2022-03-16T12:42:06Z,12:42:06,3c4591,50.643482,21.408419,27000,433,89,216.5,216.5
1647434530,2022-03-16T12:42:10Z,12:42:10,3c4591,50.644039,21.418514,27000,434,85,217,217
1647434532,2022-03-16T12:42:12Z,12:42:12,3c4591,50.644924,21.428017,27000,434,81,217,217
1647434535,2022-03-16T12:42:15Z,12:42:15,3c4591,50.645554,21.43288,27000,434,79,217,217
1647434538,2022-03-16T12:42:18Z,12:42:18,3c4591,50.647659,21.446035,27000,433,75,216.5,216.5
1647434541,2022-03-16T12:42:21Z,12:42:21,3c4591,50.648895,21.452106,27000,433,72,216.5,216.5
1647434544,2022-03-16T12:42:24Z,12:42:24,3c4591,50.651825,21.464033,27000,433,68,216.5,216.5
1647434548,2022-03-16T12:42:28Z,12:42:28,3c4591,50.65448,21.472923,27000,434,65,217,217
1647434551,2022-03-16T12:42:31Z,12:42:31,3c4591,50.657402,21.481241,27000,433,61,216.5,216.5
1647434554,2022-03-16T12:42:34Z,12:42:34,3c4591,50.660286,21.48859,27000,434,58,217,217
1647434557,2022-03-16T12:42:37Z,12:42:37,3c4591,50.664413,21.49757,27000,433,54,216.5,216.5
1647434560,2022-03-16T12:42:40Z,12:42:40,3c4591,50.668156,21.504921,27000,434,50,217,217
1647434563,2022-03-16T12:42:43Z,12:42:43,3c4591,50.67239,21.512222,27000,433,47,216.5,216.5
1647434566,2022-03-16T12:42:46Z,12:42:46,3c4591,50.676533,21.518555,27000,434,45,217,217
1647434569,2022-03-16T12:42:49Z,12:42:49,3c4591,50.681076,21.524815,27000,434,41,217,217
1647434572,2022-03-16T12:42:52Z,12:42:52,3c4591,50.686447,21.531296,27000,434,37,217,217
1647434575,2022-03-16T12:42:55Z,12:42:55,3c4591,50.691467,21.536543,27000,434,33,217,217
1647434578,2022-03-16T12:42:58Z,12:42:58,3c4591,50.695946,21.54068,27000,434,30,217,217
1647434581,2022-03-16T12:43:01Z,12:43:01,3c4591,50.702229,21.545868,27000,434,27,217,217
1647434585,2022-03-16T12:43:05Z,12:43:05,3c4591,50.707954,21.549835,27000,432,24,216,216
1647434587,2022-03-16T12:43:07Z,12:43:07,3c4591,50.713028,21.552727,27000,432,20,216,216
1647434591,2022-03-16T12:43:11Z,12:43:11,3c4591,50.719501,21.555862,27000,432,17,216,216
1647434594,2022-03-16T12:43:14Z,12:43:14,3c4591,50.725388,21.558071,27000,433,14,216.5,216.5
